NAME,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE
UNIVERSITY OF PITTSBURGH-PITTSBURGH CAMPUS,PITTSBURGH,PA,USA,40.4425986110001,-79.954104784
BEAVER FALLS BEAUTY ACADEMY,BEAVER FALLS,PA,USA,40.7541607470001,-80.320346542
CONCORDE CAREER COLLEGE-GRAND PRAIRIE,GRAND PRAIRIE,TX,USA,32.7622343460001,-97.1037956919999
LAMAR INSTITUTE OF TECHNOLOGY,BEAUMONT,TX,USA,30.0478847430001,-94.0771262439999
POINT PARK UNIVERSITY,PITTSBURGH,PA,USA,40.4385255870001,-80.001461718
JOSEPH F MCCLOSKEY SCHOOL OF NURSING AT SCHUYLKILL HEALTH,POTTSVILLE,PA,USA,40.6840491080001,-76.188954958
EDWARD VIA COLLEGE OF OSTEOPATHIC MEDICINE,BLACKSBURG,VA,USA,37.1996660990001,-80.4060209629999
BROWN MACKIE COLLEGE-ALBUQUERQUE,ALBUQUERQUE,NM,USA,35.079329144,-106.527074695
BROWN MACKIE COLLEGE-ST LOUIS,FENTON,MO,USA,38.5443587400001,-90.436564695
AVANT GARD THE SCHOOL,AVON,IN,USA,39.7597424510001,-86.3784225639999
CALIFORNIA UNIVERSITY OF MANAGEMENT AND SCIENCES,ANAHEIM,CA,USA,33.842041384,-117.941991925
ROSS MEDICAL EDUCATION CENTER-DAVISON,DAVISON,MI,USA,43.037566606,-83.517216918
ROSS MEDICAL EDUCATION CENTER-GRANGER,GRANGER,IN,USA,41.7178352080001,-86.174277173
ROSS MEDICAL EDUCATION CENTER-NILES,NILES,OH,USA,41.2141995120001,-80.751543644
ROSS MEDICAL EDUCATION CENTER-CANTON,CANTON,MI,USA,42.323617406,-83.482011653
PIMA MEDICAL INSTITUTE-HOUSTON,HOUSTON,TX,USA,29.783445994,-95.548090399
ILLINOIS MEDIA SCHOOL-CHICAGO CAMPUS,CHICAGO,IL,USA,41.87512229,-87.628045954
SOUTH TEXAS VOCATIONAL TECHNICAL INSTITUTE-SAN ANTONIO,SAN ANTONIO,TX,USA,29.355999739,-98.4891446949999
CONCORDE CAREER COLLEGE-DALLAS,DALLAS,TX,USA,32.91846143,-96.74173531
CONCORDE CAREER INSTITUTE-ORLANDO,ORLANDO,FL,USA,28.5598558730001,-81.340467871
HAIR DESIGN INSTITUTE AT FIFTH AVENUE-NEW YORK,NEW YORK,NY,USA,40.7529711110001,-73.992380865
ONONDAGA SCHOOL OF THERAPEUTIC MASSAGE-ROCHESTER,ROCHESTER,NY,USA,43.159085696,-77.584781318
NORCO COLLEGE,NORCO,CA,USA,33.9167523940001,-117.569994205
REMINGTON COLLEGE-HEATHROW CAMPUS,LAKE MARY,FL,USA,28.7663890330001,-81.362156004
COLLEGE OF MASSAGE THERAPY,BLACKFOOT,ID,USA,43.193015329,-112.347002871
MILLER-MOTTE COLLEGE-JACKSONVILLE,JACKSONVILLE,NC,USA,34.751443174,-77.414321628
MILLER-MOTTE TECHNICAL COLLEGE-AUGUSTA,AUGUSTA,GA,USA,33.494993863,-82.0869860729999
MILLER-MOTTE TECHNICAL COLLEGE-CONWAY,CONWAY,SC,USA,33.7846971430001,-78.9900128749999
AVEDA INSTITUTE-PORTLAND,PORTLAND,OR,USA,45.5255142440001,-122.684741809
CHAMBERLAIN COLLEGE OF NURSING-VIRGINIA,ARLINGTON,VA,USA,38.851234096,-77.050616165
READING HOSPITAL SCHOOL OF HEALTH SCIENCES,READING,PA,USA,40.325701171,-75.950269665
THE RESTAURANT SCHOOL AT WALNUT HILL COLLEGE,PHILADELPHIA,PA,USA,39.955097999,-75.207489622
BRIGHTWOOD CAREER INSTITUTE-BROOMALL,BROOMALL,PA,USA,39.961925223,-75.3555092029999
WILLIAMSON CHRISTIAN COLLEGE,FRANKLIN,TN,USA,35.9563664660001,-86.8250117279999
NORTHEAST TECHNOLOGY CENTER-SYSTEM OFFICE,PRYOR,OK,USA,36.2315047820001,-95.333390822
OXFORD GRADUATE SCHOOL,DAYTON,TN,USA,35.4681424340001,-85.053773695
JUNG TAO SCHOOL OF CLASSICAL CHINESE MEDICINE,SUGAR GROVE,NC,USA,36.263233085,-81.785302563
NEW YORK FILM ACADEMY,BURBANK,CA,USA,34.136052249,-118.354020695
THE COLLECTIVE SCHOOL OF MUSIC,NEW YORK,NY,USA,40.7404118850001,-73.995721953
INTERNATIONAL COLLEGE OF COSMETOLOGY,OAKLAND,CA,USA,37.774888332,-122.220796217
MANHATTAN INSTITUTE,NEW YORK,NY,USA,40.744775116,-73.986813443
COSMETIC ARTS INSTITUTE,WALTERBORO,SC,USA,32.8957735700001,-80.6390105629999
HOLISTIC MASSAGE TRAINING INSTITUTE,BALTIMORE,MD,USA,39.3313444500001,-76.61694626
DIAMONDS COSMETOLOGY COLLEGE,SHERMAN,TX,USA,33.654958763,-96.602591521
NORTHERN VIRGINIA SCHOOL OF THERAPEUTIC MASSAGE,FALLS CHURCH,VA,USA,38.884899138,-77.1722251309999
PAUL MITCHELL THE SCHOOL-ST LOUIS,ST. LOUIS,MO,USA,38.6447823680001,-90.262914753
COSMOPOLITAN BEAUTY AND TECH SCHOOL,ANNANDALE,VA,USA,38.8322703700001,-77.188703749
SHEPHERDS THEOLOGICAL SEMINARY,CARY,NC,USA,35.74433385,-78.7426232129999
ENTOURAGE INSTITUTE OF BEAUTY AND ESTHETICS,LENEXA,KS,USA,38.955531524,-94.725095723
CINTA AVEDA INSTITUTE,SAN FRANCISCO,CA,USA,37.7910305,-122.404385882
LONG ISLAND NAIL & SKIN CARE INSTITUTE,LEVITTOWN,NY,USA,40.725904884,-73.499010469
SOUTHERN CALIFORNIA HEALTH INSTITUTE,RESEDA,CA,USA,34.1653815170001,-118.374598886
BLUE CLIFF CAREER COLLEGE,MOBILE,AL,USA,30.6704094520001,-88.1147881809999
ROSEDALE TECHNICAL COLLEGE,PITTSBURGH,PA,USA,40.4520500240001,-80.103925719
ROSEMONT COLLEGE,ROSEMONT,PA,USA,40.034771436,-75.329898245
SAINT JOSEPH'S UNIVERSITY,PHILADELPHIA,PA,USA,39.9944422390001,-75.238342625
SCHUYLKILL TECHNOLOGY CENTER,FRACKVILLE,PA,USA,40.7757352770001,-76.229379689
THE BEAUTY INSTITUTE SCHWARZKOPF PROFESSIONAL-BOISE,BOISE,ID,USA,43.591050001,-116.247662765
